Date,Time,Milliseconds,Log Level,Process ID,Thread ID,Event Type,Source,Description
2022-12-15,10:07:39,166,1,"#00002254","#000022c0","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:10:52,765,1,"#00002254","#00002b80","info   ","usrtimecnt","Counting Users..."
2022-12-15,10:10:59,109,1,"#00002254","#00002b80","info   ","usrtimecnt","Counted 1091 users"
2022-12-15,10:10:59,109,1,"#00002254","#00002b80","info   ","usrtimecnt","Writing 1091 Users"
2022-12-15,10:12:39,184,1,"#00002254","#0000005c","info   ","usrtimecnt","Initialize for new thread (0x5C, 0x9AAA920)"
2022-12-15,10:12:39,184,1,"#00002254","#0000005c","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:12:39,184,1,"#00002254","#0000005c","info   ","usrtimecnt","USERTIMESetParams"
2022-12-15,10:12:39,184,1,"#00002254","#0000005c","info   ","usrtimecnt","USERTIMESetParams 0x9AA27C0"
2022-12-15,10:12:39,196,1,"#00002254","#000029bc","info   ","usrtimecnt","Initialize for new thread (0x29BC, 0x9AAA920)"
2022-12-15,10:12:39,196,1,"#00002254","#000029bc","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:12:39,200,1,"#00002254","#00002938","info   ","usrtimecnt","Initialize for new thread (0x2938, 0x9AAA920)"
2022-12-15,10:12:39,200,1,"#00002254","#00002938","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:15:32,982,1,"#00002254","#00002814","info   ","usrtimecnt","Days passed: 534"
2022-12-15,10:15:32,982,1,"#00002254","#00002814","info   ","usrtimecnt","Writing 534 Days"
2022-12-15,10:15:59,113,1,"#00002254","#00002b80","info   ","usrtimecnt","Counting Users..."
2022-12-15,10:16:05,371,1,"#00002254","#00002b80","info   ","usrtimecnt","Counted 1091 users"
2022-12-15,10:16:05,371,1,"#00002254","#00002b80","info   ","usrtimecnt","Writing 1091 Users"
2022-12-15,10:17:39,230,1,"#00002254","#000022b4","info   ","usrtimecnt","Initialize for new thread (0x22B4, 0x9AAA920)"
2022-12-15,10:17:39,230,1,"#00002254","#000022b4","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:17:39,230,1,"#00002254","#000022b4","info   ","usrtimecnt","USERTIMESetParams"
2022-12-15,10:17:39,230,1,"#00002254","#000022b4","info   ","usrtimecnt","USERTIMESetParams 0x9AA27C0"
2022-12-15,10:17:39,241,1,"#00002254","#000022b4","info   ","usrtimecnt","Initialize for new thread (0x22B4, 0x9AAA920)"
2022-12-15,10:17:39,241,1,"#00002254","#000022b4","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:17:39,244,1,"#00002254","#00000e6c","info   ","usrtimecnt","Initialize for new thread (0xE6C, 0x9AAA920)"
2022-12-15,10:17:39,244,1,"#00002254","#00000e6c","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:21:05,376,1,"#00002254","#00002b80","info   ","usrtimecnt","Counting Users..."
2022-12-15,10:21:11,690,1,"#00002254","#00002b80","info   ","usrtimecnt","Counted 1091 users"
2022-12-15,10:21:11,690,1,"#00002254","#00002b80","info   ","usrtimecnt","Writing 1091 Users"
2022-12-15,10:22:39,267,1,"#00002254","#00001aac","info   ","usrtimecnt","Initialize for new thread (0x1AAC, 0x9AAA920)"
2022-12-15,10:22:39,267,1,"#00002254","#00001aac","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:22:39,267,1,"#00002254","#00001aac","info   ","usrtimecnt","USERTIMESetParams"
2022-12-15,10:22:39,267,1,"#00002254","#00001aac","info   ","usrtimecnt","USERTIMESetParams 0x9AA27C0"
2022-12-15,10:22:39,278,1,"#00002254","#00001aac","info   ","usrtimecnt","Initialize for new thread (0x1AAC, 0x9AAA920)"
2022-12-15,10:22:39,278,1,"#00002254","#00001aac","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:22:39,281,1,"#00002254","#00002a48","info   ","usrtimecnt","Initialize for new thread (0x2A48, 0x9AAA920)"
2022-12-15,10:22:39,281,1,"#00002254","#00002a48","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:25:32,992,1,"#00002254","#00002814","info   ","usrtimecnt","Days passed: 534"
2022-12-15,10:25:32,992,1,"#00002254","#00002814","info   ","usrtimecnt","Writing 534 Days"
2022-12-15,10:26:11,696,1,"#00002254","#00002b80","info   ","usrtimecnt","Counting Users..."
2022-12-15,10:26:17,705,1,"#00002254","#00002b80","info   ","usrtimecnt","Counted 1091 users"
2022-12-15,10:26:17,705,1,"#00002254","#00002b80","info   ","usrtimecnt","Writing 1091 Users"
2022-12-15,10:27:39,308,1,"#00002254","#00001ce8","info   ","usrtimecnt","Initialize for new thread (0x1CE8, 0x9AAA920)"
2022-12-15,10:27:39,308,1,"#00002254","#00001ce8","info   ","usrtimecnt","PGUID:{89F1AD4F-FCB4-4E58-985A-0A0BAAAFDC6E}"
2022-12-15,10:27:39,308,1,"#00002254","#00001ce8","info   ","usrtimecnt","USERTIMESetParams"
2022-12-15,10:27:39,308,1,"#00002254","#00001ce8","info   ","usrtimecnt","USERTIMESetParams 0x9AA27C0"
2022-12-15,10:27:39,316,1,"#00002254","#00001ce8","info   ","usrtimecnt","Initialize for new thread (0x1CE8, 0x9AAA920)"
